team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Hawks,107,0.4556,0.2778,0.4167,7,38,19,7,3,24,2018-10-17
Knicks,126,0.4545,0.3636,0.7273,10,36,21,12,6,15,2018-10-17
Hawks,117,0.494,0.4667,0.7,11,29,27,9,5,19,2018-10-19
Grizzlies,131,0.5432,0.5,1.1538,7,34,32,9,4,16,2018-10-19
Hawks,133,0.4898,0.4681,0.3191,9,35,32,9,7,12,2018-10-21
Cavaliers,111,0.4646,0.3704,0.3333,15,34,23,5,2,18,2018-10-21
Mavericks,104,0.4176,0.3,0.4,9,43,25,7,9,17,2018-10-24
Hawks,111,0.4066,0.3947,0.5789,10,44,28,6,6,15,2018-10-24
Bulls,97,0.4337,0.3636,0.3939,8,44,25,14,6,20,2018-10-27
Hawks,85,0.3214,0.3,0.475,11,37,20,9,8,22,2018-10-27
Hawks,92,0.3723,0.2162,0.3784,10,37,20,10,3,13,2018-10-29
76ers,113,0.4141,0.2979,0.3617,16,48,33,7,9,19,2018-10-29
Hawks,114,0.5366,0.4286,0.3143,6,33,25,6,8,22,2018-10-30
Cavaliers,136,0.5,0.52,1.32,13,35,23,13,1,13,2018-10-30
Kings,146,0.5408,0.4,0.7429,10,36,38,14,3,14,2018-11-01
Hawks,115,0.4828,0.2581,0.7419,10,33,26,6,6,22,2018-11-01
Heat,118,0.4824,0.4,0.5,13,28,27,6,6,17,2018-11-03
Hawks,123,0.5227,0.4062,0.5625,8,29,33,11,7,16,2018-11-03
Hawks,102,0.4824,0.2,0.4667,7,30,22,13,9,22,2018-11-06
Hornets,113,0.4891,0.4194,0.3226,8,35,27,9,4,21,2018-11-06
Knicks,112,0.4416,0.3667,1.1,11,37,15,8,7,16,2018-11-07
Hawks,107,0.4022,0.2895,0.5789,15,30,26,5,9,17,2018-11-07
Pistons,124,0.4742,0.4255,0.2553,10,34,30,10,6,10,2018-11-09
Hawks,109,0.4557,0.25,1.0714,9,44,17,6,2,16,2018-11-09
Hawks,106,0.4316,0.3514,0.2973,10,34,25,11,4,17,2018-11-11
Lakers,107,0.4239,0.3684,0.3947,17,31,28,12,9,22,2018-11-11
Hawks,103,0.4494,0.375,0.3438,10,32,25,9,2,14,2018-11-13
Warriors,110,0.4286,0.4444,0.7407,13,35,28,8,6,13,2018-11-13
Hawks,93,0.3478,0.2143,0.4762,15,28,20,7,5,19,2018-11-15
Nuggets,138,0.5638,0.4194,0.6129,11,45,34,12,6,15,2018-11-15
Hawks,89,0.3563,0.2759,0.6552,5,36,20,15,6,18,2018-11-17
Pacers,97,0.4023,0.4,0.5,10,43,25,11,6,22,2018-11-17
Clippers,127,0.4301,0.303,1.1212,15,37,24,9,8,15,2018-11-19
Hawks,119,0.4455,0.3158,0.4474,16,35,29,6,6,14,2018-11-19
Raptors,124,0.5333,0.3793,0.5862,14,41,33,6,1,17,2018-11-21
Hawks,108,0.4516,0.2778,0.3889,9,25,24,10,7,9,2018-11-21
Celtics,114,0.4615,0.325,0.425,7,36,31,11,7,16,2018-11-23
Hawks,96,0.4321,0.1714,0.5714,5,35,22,9,7,20,2018-11-23
Hornets,123,0.4457,0.4,0.5111,10,32,30,8,4,10,2018-11-25
Hawks,124,0.5319,0.4103,0.2051,9,32,34,5,9,15,2018-11-25
Hawks,115,0.475,0.3871,0.871,10,36,22,13,7,24,2018-11-27
Heat,113,0.4598,0.3421,0.5263,11,32,22,20,3,20,2018-11-27
Hawks,94,0.3441,0.25,0.4318,16,38,20,11,8,19,2018-11-28
Hornets,108,0.4578,0.2,1.4,5,39,20,15,5,14,2018-11-28
Hawks,109,0.4479,0.3056,0.3333,14,28,26,15,3,21,2018-11-30
Thunder,124,0.5227,0.439,0.3415,7,39,30,12,7,20,2018-11-30
Warriors,128,0.5854,0.5417,0.7917,6,33,33,10,8,20,2018-12-03
Hawks,111,0.4889,0.1923,0.6923,9,26,23,10,4,18,2018-12-03
Wizards,131,0.4842,0.3158,0.7105,12,37,35,9,4,15,2018-12-05
Hawks,117,0.4457,0.3158,0.6053,8,35,28,13,4,17,2018-12-05
Nuggets,98,0.3711,0.25,0.4722,11,37,28,11,4,15,2018-12-08
Hawks,106,0.4301,0.3571,0.2619,9,42,33,9,11,18,2018-12-08
Hawks,107,0.4624,0.3333,0.303,16,28,21,7,2,21,2018-12-12
Mavericks,114,0.4667,0.3529,0.9412,4,32,22,13,5,14,2018-12-12
Hawks,108,0.4186,0.4211,0.5263,16,28,27,10,5,24,2018-12-14
Celtics,129,0.4842,0.4872,0.4615,13,34,28,15,9,21,2018-12-14
Hawks,127,0.5529,0.4828,0.6552,8,25,38,9,5,14,2018-12-16
Nets,144,0.5568,0.4,0.75,10,29,34,12,3,13,2018-12-16
Wizards,110,0.4337,0.325,0.625,9,28,26,14,1,15,2018-12-18
Hawks,118,0.4684,0.375,1.0,13,36,23,4,5,23,2018-12-18
Hawks,114,0.4725,0.3448,0.6207,15,39,29,4,1,16,2018-12-21
Knicks,107,0.4881,0.2963,0.6296,4,31,20,8,3,12,2018-12-21
Hawks,98,0.3956,0.2609,0.8696,15,39,24,9,9,16,2018-12-23
Pistons,95,0.4096,0.3448,0.5862,5,36,21,6,9,16,2018-12-23
Pacers,129,0.5542,0.4815,0.8889,10,29,35,13,3,16,2018-12-26
Hawks,121,0.5056,0.4722,0.3889,11,30,33,8,6,19,2018-12-26
Hawks,123,0.47,0.4571,0.3714,17,41,32,10,6,23,2018-12-28
Timberwolves,120,0.449,0.3438,0.6562,16,31,28,14,9,14,2018-12-28
Cavaliers,108,0.4706,0.2174,1.0,10,34,27,9,2,12,2018-12-29
Hawks,111,0.4388,0.2703,0.4054,17,36,27,7,4,13,2018-12-29
